full_text,created_at,id
@cellbit CABELUDO,2023-04-29 00:40:10+00:00,1652110492867915781
@cellbit @Quackity OI CELLBIT https://t.co/XDGwinwjXz,2023-04-29 00:39:46+00:00,1652110391588052992
@cellbit @Quackity O destino uniu eles de novo,2023-04-29 00:39:40+00:00,1652110365805756416
@cellbit @Quackity maldito ficou no encolha deixo de fazer live e td vc me paga,2023-04-29 00:39:33+00:00,1652110334725963778
@cellbit @Quackity OI,2023-04-29 00:39:25+00:00,1652110301217673216
@cellbit @Quackity SEU DESGRAÇADO TE AMO,2023-04-29 00:39:06+00:00,1652110221966299136
"@cellbit @NinjaGui10 @Quackity Diga ao pac, q vc fez seu jogo",2023-04-29 00:39:00+00:00,1652110197798600706
@cellbit @Quackity oiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,2023-04-29 00:38:51+00:00,1652110160888836096
@cellbit @Quackity oi cellbo 😭😭,2023-04-29 00:38:35+00:00,1652110094291685377
@cellbit @Quackity isso foi tudo que eu pedi sim,2023-04-29 00:38:29+00:00,1652110065866874880
@cellbit @Quackity o- oi cellbit 😳👉👈,2023-04-29 00:38:28+00:00,1652110063476129794
@cellbit @Quackity CADE A TEXTURA DO VERISSIMO SEM CAMISA,2023-04-29 00:38:12+00:00,1652109996434370560
"@cellbit @Quackity Isso, esses pequenos momentos se chamam felicidade",2023-04-29 00:38:05+00:00,1652109968248655872
@cellbit @Quackity OI.,2023-04-29 00:37:59+00:00,1652109943456055297
@cellbit @Quackity RAFARL SEU MARMANJO,2023-04-29 00:37:51+00:00,1652109908429381633
@cellbit @Quackity OI,2023-04-29 00:37:47+00:00,1652109892197445632
@cellbit @Quackity DKDJSJDJDNKSOSJS,2023-04-29 00:37:44+00:00,1652109879098630144
@cellbit @Quackity Oi caraaaa tô surpresa de tu ter topado EU TÔ TÃO FELIZ,2023-04-29 00:37:43+00:00,1652109876179484672
@cellbit @Quackity FILHO DA PITA,2023-04-29 00:37:37+00:00,1652109849767948288
@cellbit @Quackity Oie,2023-04-29 00:37:20+00:00,1652109778305335296
@cellbit @Quackity oii,2023-04-29 00:36:52+00:00,1652109662576156675
@cellbit @Quackity FILHA DA PUTA TE AMO,2023-04-29 00:36:35+00:00,1652109589863710720
@cellbit @Quackity OI RAFA,2023-04-29 00:36:34+00:00,1652109585480663040
@cellbit @Quackity RAFAEL LANCHES OBG POR TD,2023-04-29 00:36:33+00:00,1652109581575651330
@cellbit @Quackity MEUDEUS ELOEURHWJ,2023-04-29 00:36:30+00:00,1652109568262979585
@cellbit @Quackity oii,2023-04-29 00:36:30+00:00,1652109567436767236
@cellbit @Quackity OI,2023-04-29 00:36:27+00:00,1652109554530893824
@cellbit @Quackity oi,2023-04-29 00:36:26+00:00,1652109549963206656
@cellbit @Quackity oi cellbo,2023-04-29 00:36:24+00:00,1652109543919218689
@cellbit @Quackity 🙋,2023-04-29 00:36:02+00:00,1652109450864386048
@cellbit @Quackity VOCE É UM PORRINHA,2023-04-29 00:35:45+00:00,1652109378730835969
@cellbit @Quackity Oi,2023-04-29 00:35:43+00:00,1652109372095361026
"@cellbit @Quackity Cellbit, namoral, isso vai ser o puro suco da nostalgia.",2023-04-29 00:35:32+00:00,1652109324934692867
@cellbit @Quackity alo,2023-04-29 00:35:27+00:00,1652109303900254209
@cellbit @Quackity OMG RAFAEL LANGE HII!!,2023-04-29 00:35:24+00:00,1652109292407848960
@cellbit @Quackity oi cellbit to passando bem não,2023-04-29 00:35:19+00:00,1652109269997584384
@cellbit @Quackity cabeludo fikho da puta eu pensei que voce nao ia aceitar eu to feliz,2023-04-29 00:34:59+00:00,1652109187650920448
@cellbit @Quackity SAFADO,2023-04-29 00:34:43+00:00,1652109117698236417
@cellbit @Quackity OIEEEE,2023-04-29 00:34:37+00:00,1652109095044825088
@cellbit @Quackity oie,2023-04-29 00:34:36+00:00,1652109090057773057
@cellbit @Quackity AMO VOCÊ,2023-04-29 00:34:31+00:00,1652109069187002373
@cellbit @Quackity rafael lanchas voce me paga  quase morri do coração,2023-04-29 00:34:24+00:00,1652109041802305537
@cellbit @Quackity OI ??????????,2023-04-29 00:34:22+00:00,1652109033443131394
@cellbit @Quackity oi,2023-04-29 00:34:17+00:00,1652109009153843200
@cellbit @Quackity CELLBIT OBRIGADA TE AMO CABELUDO LINDO https://t.co/qLLB2QJ8ux,2023-04-29 00:34:13+00:00,1652108991797788672
@cellbit @Quackity oi celbo,2023-04-29 00:34:07+00:00,1652108969626722305
@cellbit @Quackity CELLBIT !!!!,2023-04-29 00:34:05+00:00,1652108961082900480
@cellbit @Quackity seu copiao,2023-04-29 00:33:53+00:00,1652108910147383297
@cellbit @Quackity oi,2023-04-29 00:33:50+00:00,1652108898617237505
@cellbit @Quackity OMG,2023-04-29 00:33:49+00:00,1652108895060480000
@cellbit @Quackity SAFADO SEM VERGONHA CANALHA,2023-04-29 00:33:48+00:00,1652108889414877185
@cellbit @Quackity 🫶,2023-04-29 00:33:48+00:00,1652108887909097472
@cellbit @Quackity Nunca creí llegar a ver a cellbit responder un Twitter de quackity,2023-04-29 00:33:40+00:00,1652108857311723522
@cellbit @Quackity Se lançar a texture pack de um zumbi de sangue seria incrível,2023-04-29 00:33:40+00:00,1652108856401731584
@cellbit @Quackity SAFADO VC NÃO ME ENGANA DESDE DE ORDEM,2023-04-29 00:33:40+00:00,1652108855248142336
@cellbit @Quackity SEU DESGRAÇADO EU TE ODEIO CELLBIT,2023-04-29 00:33:38+00:00,1652108845508972546
@cellbit @Quackity ola rafael lanches,2023-04-29 00:33:35+00:00,1652108834993782786
@cellbit @Quackity OI,2023-04-29 00:33:31+00:00,1652108818136850434
@cellbit @Quackity OI,2023-04-29 00:33:28+00:00,1652108806174769156
@cellbit @Quackity https://t.co/Z1PdNbah1O,2023-04-29 00:33:26+00:00,1652108798465568770
"@cellbit @Quackity oi, pode me dar sanidade?",2023-04-29 00:33:26+00:00,1652108796137750530
"@cellbit @Quackity Oi, queria te informar que isso fez meu dia",2023-04-29 00:33:25+00:00,1652108793952579585
@cellbit @Quackity EU TO CHORANDO CSJSHDUEJAKAKAJ QUE FODA,2023-04-29 00:33:19+00:00,1652108767075393538
@cellbit @Quackity mano cell (ular) está de volta,2023-04-29 00:33:18+00:00,1652108763665510400
@cellbit @Quackity Eu me sinto com 12 anos dnv,2023-04-29 00:33:13+00:00,1652108740609429508
@cellbit @Quackity CELBIIIIITTTTT😭😭😭😭😭,2023-04-29 00:33:09+00:00,1652108727011426304
@cellbit @Quackity SAFADO EU NAO ACREDITO Q TU VAI MSM FAZER ISSO,2023-04-29 00:33:09+00:00,1652108723534323713
@cellbit @Quackity oi,2023-04-29 00:33:07+00:00,1652108717926629377
@cellbit @Quackity oi,2023-04-29 00:33:07+00:00,1652108717876293632
@cellbit @Quackity OI TUDO BEM,2023-04-29 00:33:03+00:00,1652108699098398721
@cellbit @Quackity Oi,2023-04-29 00:32:59+00:00,1652108684519002112
@cellbit @Quackity this you? https://t.co/drYk5r1ni5,2023-04-29 00:32:57+00:00,1652108676079951875
